"REF_DATE","GEO","DGUID","Assets, liabilities and monetary aggregates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1966-03","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1966-04","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1966-05","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1966-06","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1966-07","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1966-08","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1966-09","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1966-10","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1966-11","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1966-12","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-01","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-02","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-03","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-04","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-05","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-06","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-07","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-08","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-09","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-10","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-11","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1967-12","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1968-01","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1968-02","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1968-03","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1968-04","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1968-05","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1968-06","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1968-07","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1968-08","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
"1968-09","Canada","2016A000011124","Chartered bank deposits, personal","Dollars","81","millions","6","v41552791","1.54","","..","","","0"
