REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Canadian and foreign direct investment,Countries or regions,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1999,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,290730,,,,0
2000,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,356506,,,,0
2001,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,399253,,,,0
2002,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,435494,,,,0
2003,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,412217,,,,0
2004,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,448546,,,,0
2005,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,452195,,,,0
2006,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,518839,,,,0
2007,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,515294,,,,0
2008,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,641920,,,,0
2009,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,630818,,,,0
2010,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,637285,,,,0
2011,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,675020,,,,0
2012,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,704335,,,,0
2013,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,778371,,,,0
2014,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,845203,,,,0
2015,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,1043822,,,,0
2016,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,1105175,,,,0
2017,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,1216032,,,,0
2018,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,1409653,,,,0
2019,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,1613703,,,,0
2020,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,1666652,,,,0
2021,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,1844423,,,,0
2022,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,2032530,,,,0
2023,Canada,2016A000011124,"Total, all industries",Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v20143876,1.1.1.1,2171289,,,,0
1999,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,252563,,,,0
2000,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,319116,,,,0
2001,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,340429,,,,0
2002,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,356819,,,,0
2003,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,373685,,,,0
2004,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,379450,,,,0
2005,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,397828,,,,0
2006,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,437171,,,,0
2007,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,512266,,,,0
2008,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,550539,,,,0
2009,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,573901,,,,0
2010,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,592406,,,,0
2011,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,603455,,,,0
2012,Canada,2016A000011124,"Total, all industries",Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v20143877,1.1.2.1,633778,,,,0
