Date,LNLR,LNLR lag 1,LNLR lag 10,LNLR lag 11,LNLR lag 12,LNLR lag 2,LNLR lag 3,LNLR lag 4,LNLR lag 5,LNLR lag 6,LNLR lag 7,LNLR lag 8,LNLR lag 9,Median Rent Price,Median Rent Price growth,Median Rent Price growth lag 1,Median Rent Price growth lag 10,Median Rent Price growth lag 11,Median Rent Price growth lag 12,Median Rent Price growth lag 13,Median Rent Price growth lag 2,Median Rent Price growth lag 3,Median Rent Price growth lag 4,Median Rent Price growth lag 5,Median Rent Price growth lag 6,Median Rent Price growth lag 7,Median Rent Price growth lag 8,Median Rent Price growth lag 9,NHPI,NHPI growth,NHPI growth lag 1,NHPI growth lag 10,NHPI growth lag 11,NHPI growth lag 12,NHPI growth lag 13,NHPI growth lag 14,NHPI growth lag 15,NHPI growth lag 16,NHPI growth lag 17,NHPI growth lag 18,NHPI growth lag 2,NHPI growth lag 3,NHPI growth lag 4,NHPI growth lag 5,NHPI growth lag 6,NHPI growth lag 7,NHPI growth lag 8,NHPI growth lag 9,NHPI lag 1,NHPI lag 10,NHPI lag 11,NHPI lag 12,NHPI lag 13,NHPI lag 14,NHPI lag 15,NHPI lag 16,NHPI lag 17,NHPI lag 18,NHPI lag 2,NHPI lag 3,NHPI lag 4,NHPI lag 5,NHPI lag 6,NHPI lag 7,NHPI lag 8,NHPI lag 9,New Listings,New Listings lag 1,New Listings lag 10,New Listings lag 11,New Listings lag 12,New Listings lag 13,New Listings lag 14,New Listings lag 15,New Listings lag 16,New Listings lag 17,New Listings lag 18,New Listings lag 2,New Listings lag 3,New Listings lag 4,New Listings lag 5,New Listings lag 6,New Listings lag 7,New Listings lag 8,New Listings lag 9,Total Leased,Total Leased lag 1,Total Leased lag 10,Total Leased lag 11,Total Leased lag 12,Total Leased lag 13,Total Leased lag 14,Total Leased lag 15,Total Leased lag 16,Total Leased lag 17,Total Leased lag 18,Total Leased lag 2,Total Leased lag 3,Total Leased lag 4,Total Leased lag 5,Total Leased lag 6,Total Leased lag 7,Total Leased lag 8,Total Leased lag 9,Unemployment rate,Unemployment rate diff,Unemployment rate diff lag 1,Unemployment rate diff lag 10,Unemployment rate diff lag 11,Unemployment rate diff lag 12,Unemployment rate diff lag 13,Unemployment rate diff lag 14,Unemployment rate diff lag 15,Unemployment rate diff lag 16,Unemployment rate diff lag 17,Unemployment rate diff lag 18,Unemployment rate diff lag 2,Unemployment rate diff lag 3,Unemployment rate diff lag 4,Unemployment rate diff lag 5,Unemployment rate diff lag 6,Unemployment rate diff lag 7,Unemployment rate diff lag 8,Unemployment rate diff lag 9,Unemployment rate lag 1,Unemployment rate lag 10,Unemployment rate lag 11,Unemployment rate lag 12,Unemployment rate lag 13,Unemployment rate lag 14,Unemployment rate lag 15,Unemployment rate lag 16,Unemployment rate lag 17,Unemployment rate lag 18,Unemployment rate lag 2,Unemployment rate lag 3,Unemployment rate lag 4,Unemployment rate lag 5,Unemployment rate lag 6,Unemployment rate lag 7,Unemployment rate lag 8,Unemployment rate lag 9
2010-03-31,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7,0.001322751322751392,-0.006570302233902758,-0.0026954177897574594,-0.005361930294906059,-0.004005340453938744,0.0,0.0,0.0,0.0,0.0,0.0,0.005284015852047519,0.0066489361702126715,0.006693440428380271,0.0026845637583892135,0.005398110661268607,0.0013513513513512265,0.0013531799729362692,-0.0013513513513512265,75.6,74.0,74.2,74.6,74.9,74.9,74.9,74.9,74.9,74.9,76.1,75.7,75.2,74.7,74.5,74.1,74.0,73.9,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,9.3,-0.6999999999999993,0.9000000000000004,0.9000000000000004,-0.5,0.0,0.5,0.8000000000000007,0.5999999999999996,0.40000000000000036,0.1999999999999993,0.3000000000000007,-0.5,-0.20000000000000107,0.5,0.0,-0.5999999999999996,-0.09999999999999964,-0.1999999999999993,0.3999999999999986,10.0,9.8,8.9,9.4,9.4,8.9,8.1,7.5,7.1,6.9,9.1,9.6,9.8,9.3,9.3,9.9,10.0,10.2
2010-04-30,0.6319290465631929,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.8,0.0013210039630118242,0.001322751322751392,-0.0013513513513512265,-0.0026954177897574594,-0.005361930294906059,-0.004005340453938744,0.0,0.0,0.0,0.0,0.0,-0.006570302233902758,0.005284015852047519,0.0066489361702126715,0.006693440428380271,0.0026845637583892135,0.005398110661268607,0.0013513513513512265,0.0013531799729362692,75.7,73.9,74.0,74.2,74.6,74.9,74.9,74.9,74.9,74.9,75.6,76.1,75.7,75.2,74.7,74.5,74.1,74.0,902.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,570.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,9.8,0.5,-0.6999999999999993,0.3999999999999986,0.9000000000000004,-0.5,0.0,0.5,0.8000000000000007,0.5999999999999996,0.40000000000000036,0.1999999999999993,0.9000000000000004,-0.5,-0.20000000000000107,0.5,0.0,-0.5999999999999996,-0.09999999999999964,-0.1999999999999993,9.3,10.2,9.8,8.9,9.4,9.4,8.9,8.1,7.5,7.1,10.0,9.1,9.6,9.8,9.3,9.3,9.9,10.0
2010-05-31,0.6460268317853457,0.6319290465631929,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,0.006596306068601621,0.0013210039630118242,0.0013531799729362692,-0.0013513513513512265,-0.0026954177897574594,-0.005361930294906059,-0.004005340453938744,0.0,0.0,0.0,0.0,0.001322751322751392,-0.006570302233902758,0.005284015852047519,0.0066489361702126715,0.006693440428380271,0.0026845637583892135,0.005398110661268607,0.0013513513513512265,75.8,74.0,73.9,74.0,74.2,74.6,74.9,74.9,74.9,74.9,75.7,75.6,76.1,75.7,75.2,74.7,74.5,74.1,969.0,902.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,626.0,570.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,9.4,-0.40000000000000036,0.5,-0.1999999999999993,0.3999999999999986,0.9000000000000004,-0.5,0.0,0.5,0.8000000000000007,0.5999999999999996,0.40000000000000036,-0.6999999999999993,0.9000000000000004,-0.5,-0.20000000000000107,0.5,0.0,-0.5999999999999996,-0.09999999999999964,9.8,10.0,10.2,9.8,8.9,9.4,9.4,8.9,8.1,7.5,9.3,10.0,9.1,9.6,9.8,9.3,9.3,9.9
2010-06-30,0.7410628019323672,0.6460268317853457,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6319290465631929,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,1675.0,-0.014705882352941124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,0.002621231979030192,0.006596306068601621,0.0013513513513512265,0.0013531799729362692,-0.0013513513513512265,-0.0026954177897574594,-0.005361930294906059,-0.004005340453938744,0.0,0.0,0.0,0.0013210039630118242,0.001322751322751392,-0.006570302233902758,0.005284015852047519,0.0066489361702126715,0.006693440428380271,0.0026845637583892135,0.005398110661268607,76.3,74.1,74.0,73.9,74.0,74.2,74.6,74.9,74.9,74.9,75.8,75.7,75.6,76.1,75.7,75.2,74.7,74.5,1035.0,969.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,902.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,767.0,626.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,570.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,8.9,-0.5,-0.40000000000000036,-0.09999999999999964,-0.1999999999999993,0.3999999999999986,0.9000000000000004,-0.5,0.0,0.5,0.8000000000000007,0.5999999999999996,0.5,-0.6999999999999993,0.9000000000000004,-0.5,-0.20000000000000107,0.5,0.0,-0.5999999999999996,9.4,9.9,10.0,10.2,9.8,8.9,9.4,9.4,8.9,8.1,9.8,9.3,10.0,9.1,9.6,9.8,9.3,9.3
2010-07-31,0.7652011225444341,0.7410628019323672,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6460268317853457,0.6319290465631929,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,1650.0,-0.014925373134328401,-0.014705882352941124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6,0.0013071895424836555,0.002621231979030192,0.005398110661268607,0.0013513513513512265,0.0013531799729362692,-0.0013513513513512265,-0.0026954177897574594,-0.005361930294906059,-0.004005340453938744,0.0,0.0,0.006596306068601621,0.0013210039630118242,0.001322751322751392,-0.006570302233902758,0.005284015852047519,0.0066489361702126715,0.006693440428380271,0.0026845637583892135,76.5,74.5,74.1,74.0,73.9,74.0,74.2,74.6,74.9,74.9,76.3,75.8,75.7,75.6,76.1,75.7,75.2,74.7,1069.0,1035.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,969.0,902.0,772.0,772.0,772.0,772.0,772.0,772.0,818.0,767.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,626.0,570.0,530.0,530.0,530.0,530.0,530.0,530.0,9.1,0.1999999999999993,-0.5,-0.5999999999999996,-0.09999999999999964,-0.1999999999999993,0.3999999999999986,0.9000000000000004,-0.5,0.0,0.5,0.8000000000000007,-0.40000000000000036,0.5,-0.6999999999999993,0.9000000000000004,-0.5,-0.20000000000000107,0.5,0.0,8.9,9.3,9.9,10.0,10.2,9.8,8.9,9.4,9.4,8.9,9.4,9.8,9.3,10.0,9.1,9.6,9.8,9.3
2010-08-31,0.9614074914869466,0.7652011225444341,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.7410628019323672,0.6460268317853457,0.6319290465631929,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,1660.0,0.0060606060606061,-0.014925373134328401,0.0,0.0,0.0,0.0,-0.014705882352941124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8,0.0026109660574413773,0.0013071895424836555,0.0026845637583892135,0.005398110661268607,0.0013513513513512265,0.0013531799729362692,-0.0013513513513512265,-0.0026954177897574594,-0.005361930294906059,-0.004005340453938744,0.0,0.002621231979030192,0.006596306068601621,0.0013210039630118242,0.001322751322751392,-0.006570302233902758,0.005284015852047519,0.0066489361702126715,0.006693440428380271,76.6,74.7,74.5,74.1,74.0,73.9,74.0,74.2,74.6,74.9,76.5,76.3,75.8,75.7,75.6,76.1,75.7,75.2,881.0,1069.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,1035.0,969.0,902.0,772.0,772.0,772.0,772.0,772.0,847.0,818.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,767.0,626.0,570.0,530.0,530.0,530.0,530.0,530.0,9.6,0.5,0.1999999999999993,0.0,-0.5999999999999996,-0.09999999999999964,-0.1999999999999993,0.3999999999999986,0.9000000000000004,-0.5,0.0,0.5,-0.5,-0.40000000000000036,0.5,-0.6999999999999993,0.9000000000000004,-0.5,-0.20000000000000107,0.5,9.1,9.3,9.3,9.9,10.0,10.2,9.8,8.9,9.4,9.4,8.9,9.4,9.8,9.3,10.0,9.1,9.6,9.8
2010-09-30,0.7476744186046511,0.9614074914869466,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.7652011225444341,0.7410628019323672,0.6460268317853457,0.6319290465631929,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6865284974093264,1750.0,0.054216867469879526,0.0060606060606061,0.0,0.0,0.0,0.0,-0.014925373134328401,-0.014705882352941124,0.0,0.0,0.0,0.0,0.0,0.0,76.8,0.0,0.0026109660574413773,0.006693440428380271,0.0026845637583892135,0.005398110661268607,0.0013513513513512265,0.0013531799729362692,-0.0013513513513512265,-0.0026954177897574594,-0.005361930294906059,-0.004005340453938744,0.0013071895424836555,0.002621231979030192,0.006596306068601621,0.0013210039630118242,0.001322751322751392,-0.006570302233902758,0.005284015852047519,0.0066489361702126715,76.8,75.2,74.7,74.5,74.1,74.0,73.9,74.0,74.2,74.6,76.6,76.5,76.3,75.8,75.7,75.6,76.1,75.7,860.0,881.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,1069.0,1035.0,969.0,902.0,772.0,772.0,772.0,772.0,643.0,847.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,818.0,767.0,626.0,570.0,530.0,530.0,530.0,530.0,9.5,-0.09999999999999964,0.5,0.5,0.0,-0.5999999999999996,-0.09999999999999964,-0.1999999999999993,0.3999999999999986,0.9000000000000004,-0.5,0.0,0.1999999999999993,-0.5,-0.40000000000000036,0.5,-0.6999999999999993,0.9000000000000004,-0.5,-0.20000000000000107,9.6,9.8,9.3,9.3,9.9,10.0,10.2,9.8,8.9,9.4,9.1,8.9,9.4,9.8,9.3,10.0,9.1,9.6
2010-10-31,0.6642246642246642,0.7476744186046511,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.9614074914869466,0.7652011225444341,0.7410628019323672,0.6460268317853457,0.6319290465631929,0.6865284974093264,0.6865284974093264,0.6865284974093264,1750.0,0.0,0.054216867469879526,0.0,0.0,0.0,0.0,0.0060606060606061,-0.014925373134328401,-0.014705882352941124,0.0,0.0,0.0,0.0,0.0,76.9,0.0013020833333334814,0.0,0.0066489361702126715,0.006693440428380271,0.0026845637583892135,0.005398110661268607,0.0013513513513512265,0.0013531799729362692,-0.0013513513513512265,-0.0026954177897574594,-0.005361930294906059,0.0026109660574413773,0.0013071895424836555,0.002621231979030192,0.006596306068601621,0.0013210039630118242,0.001322751322751392,-0.006570302233902758,0.005284015852047519,76.8,75.7,75.2,74.7,74.5,74.1,74.0,73.9,74.0,74.2,76.8,76.6,76.5,76.3,75.8,75.7,75.6,76.1,819.0,860.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,881.0,1069.0,1035.0,969.0,902.0,772.0,772.0,772.0,544.0,643.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,847.0,818.0,767.0,626.0,570.0,530.0,530.0,530.0,8.5,-1.0,-0.09999999999999964,-0.20000000000000107,0.5,0.0,-0.5999999999999996,-0.09999999999999964,-0.1999999999999993,0.3999999999999986,0.9000000000000004,-0.5,0.5,0.1999999999999993,-0.5,-0.40000000000000036,0.5,-0.6999999999999993,0.9000000000000004,-0.5,9.5,9.6,9.8,9.3,9.3,9.9,10.0,10.2,9.8,8.9,9.6,9.1,8.9,9.4,9.8,9.3,10.0,9.1
2010-11-30,0.6119760479041916,0.6642246642246642,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.7476744186046511,0.9614074914869466,0.7652011225444341,0.7410628019323672,0.6460268317853457,0.6319290465631929,0.6865284974093264,0.6865284974093264,1780.0,0.017142857142857126,0.0,0.0,0.0,0.0,0.0,0.054216867469879526,0.0060606060606061,-0.014925373134328401,-0.014705882352941124,0.0,0.0,0.0,0.0,77.3,0.005201560468140354,0.0013020833333334814,0.005284015852047519,0.0066489361702126715,0.006693440428380271,0.0026845637583892135,0.005398110661268607,0.0013513513513512265,0.0013531799729362692,-0.0013513513513512265,-0.0026954177897574594,0.0,0.0026109660574413773,0.0013071895424836555,0.002621231979030192,0.006596306068601621,0.0013210039630118242,0.001322751322751392,-0.006570302233902758,76.9,76.1,75.7,75.2,74.7,74.5,74.1,74.0,73.9,74.0,76.8,76.8,76.6,76.5,76.3,75.8,75.7,75.6,835.0,819.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,860.0,881.0,1069.0,1035.0,969.0,902.0,772.0,772.0,511.0,544.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,643.0,847.0,818.0,767.0,626.0,570.0,530.0,530.0,8.3,-0.1999999999999993,-1.0,-0.5,-0.20000000000000107,0.5,0.0,-0.5999999999999996,-0.09999999999999964,-0.1999999999999993,0.3999999999999986,0.9000000000000004,-0.09999999999999964,0.5,0.1999999999999993,-0.5,-0.40000000000000036,0.5,-0.6999999999999993,0.9000000000000004,8.5,9.1,9.6,9.8,9.3,9.3,9.9,10.0,10.2,9.8,9.5,9.6,9.1,8.9,9.4,9.8,9.3,10.0
2010-12-31,0.6456456456456456,0.6119760479041916,0.6865284974093264,0.6865284974093264,0.6865284974093264,0.6642246642246642,0.7476744186046511,0.9614074914869466,0.7652011225444341,0.7410628019323672,0.6460268317853457,0.6319290465631929,0.6865284974093264,1725.0,-0.030898876404494402,0.017142857142857126,0.0,0.0,0.0,0.0,0.0,0.054216867469879526,0.0060606060606061,-0.014925373134328401,-0.014705882352941124,0.0,0.0,0.0,77.4,0.001293661060802087,0.005201560468140354,-0.006570302233902758,0.005284015852047519,0.0066489361702126715,0.006693440428380271,0.0026845637583892135,0.005398110661268607,0.0013513513513512265,0.0013531799729362692,-0.0013513513513512265,0.0013020833333334814,0.0,0.0026109660574413773,0.0013071895424836555,0.002621231979030192,0.006596306068601621,0.0013210039630118242,0.001322751322751392,77.3,75.6,76.1,75.7,75.2,74.7,74.5,74.1,74.0,73.9,76.9,76.8,76.8,76.6,76.5,76.3,75.8,75.7,666.0,835.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,819.0,860.0,881.0,1069.0,1035.0,969.0,902.0,772.0,430.0,511.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,544.0,643.0,847.0,818.0,767.0,626.0,570.0,530.0,8.6,0.29999999999999893,-0.1999999999999993,0.9000000000000004,-0.5,-0.20000000000000107,0.5,0.0,-0.5999999999999996,-0.09999999999999964,-0.1999999999999993,0.3999999999999986,-1.0,-0.09999999999999964,0.5,0.1999999999999993,-0.5,-0.40000000000000036,0.5,-0.6999999999999993,8.3,10.0,9.1,9.6,9.8,9.3,9.3,9.9,10.0,10.2,8.5,9.5,9.6,9.1,8.9,9.4,9.8,9.3
