Date,Median Rent Price,Data Type
2005-01-31,1675.0,Actual
2005-02-28,1675.0,Actual
2005-03-31,1675.0,Actual
2005-04-30,1675.0,Actual
2005-05-31,1675.0,Actual
2005-06-30,1675.0,Actual
2005-07-31,1675.0,Actual
2005-08-31,1675.0,Actual
2005-09-30,1675.0,Actual
2005-10-31,1675.0,Actual
2005-11-30,1675.0,Actual
2005-12-31,1675.0,Actual
2006-01-31,1675.0,Actual
2006-02-28,1675.0,Actual
2006-03-31,1675.0,Actual
2006-04-30,1675.0,Actual
2006-05-31,1675.0,Actual
2006-06-30,1675.0,Actual
2006-07-31,1675.0,Actual
2006-08-31,1675.0,Actual
2006-09-30,1675.0,Actual
2006-10-31,1675.0,Actual
2006-11-30,1675.0,Actual
2006-12-31,1675.0,Actual
2007-01-31,1675.0,Actual
2007-02-28,1675.0,Actual
2007-03-31,1675.0,Actual
2007-04-30,1675.0,Actual
2007-05-31,1675.0,Actual
2007-06-30,1675.0,Actual
2007-07-31,1675.0,Actual
2007-08-31,1675.0,Actual
2007-09-30,1675.0,Actual
2007-10-31,1675.0,Actual
2007-11-30,1675.0,Actual
2007-12-31,1675.0,Actual
2008-01-31,1675.0,Actual
2008-02-29,1675.0,Actual
2008-03-31,1675.0,Actual
2008-04-30,1675.0,Actual
2008-05-31,1675.0,Actual
2008-06-30,1675.0,Actual
2008-07-31,1675.0,Actual
2008-08-31,1675.0,Actual
2008-09-30,1675.0,Actual
2008-10-31,1675.0,Actual
2008-11-30,1675.0,Actual
2008-12-31,1675.0,Actual
2009-01-31,1675.0,Actual
2009-02-28,1675.0,Actual
2009-03-31,1675.0,Actual
2009-04-30,1675.0,Actual
2009-05-31,1675.0,Actual
2009-06-30,1675.0,Actual
2009-07-31,1675.0,Actual
2009-08-31,1675.0,Actual
2009-09-30,1675.0,Actual
2009-10-31,1675.0,Actual
2009-11-30,1675.0,Actual
2009-12-31,1675.0,Actual
2010-01-31,1675.0,Actual
2010-02-28,1675.0,Actual
2010-03-31,1675.0,Actual
2010-04-30,1675.0,Actual
2010-05-31,1675.0,Actual
2010-06-30,1675.0,Actual
2010-07-31,1650.0,Actual
2010-08-31,1660.0,Actual
2010-09-30,1750.0,Actual
