Date,MLS Price Benchmark,Data Type
2005-01-31,243500,Actual
2005-02-28,244100,Actual
2005-03-31,245100,Actual
2005-04-30,245800,Actual
2005-05-31,246400,Actual
2005-06-30,247700,Actual
2005-07-31,249700,Actual
2005-08-31,252000,Actual
2005-09-30,254400,Actual
2005-10-31,257200,Actual
2005-11-30,259800,Actual
2005-12-31,262400,Actual
2006-01-31,265500,Actual
2006-02-28,268200,Actual
2006-03-31,271000,Actual
2006-04-30,274200,Actual
2006-05-31,277400,Actual
2006-06-30,280400,Actual
2006-07-31,283100,Actual
2006-08-31,285900,Actual
2006-09-30,288800,Actual
2006-10-31,290300,Actual
2006-11-30,292400,Actual
2006-12-31,294800,Actual
2007-01-31,297000,Actual
2007-02-28,300400,Actual
2007-03-31,303200,Actual
2007-04-30,306000,Actual
2007-05-31,309100,Actual
2007-06-30,312100,Actual
2007-07-31,314700,Actual
2007-08-31,316600,Actual
2007-09-30,318800,Actual
2007-10-31,320700,Actual
2007-11-30,322300,Actual
2007-12-31,324300,Actual
2008-01-31,326100,Actual
2008-02-29,326500,Actual
2008-03-31,326500,Actual
2008-04-30,325400,Actual
2008-05-31,323600,Actual
2008-06-30,321800,Actual
2008-07-31,319500,Actual
2008-08-31,317500,Actual
2008-09-30,315400,Actual
2008-10-31,311500,Actual
2008-11-30,308200,Actual
2008-12-31,304200,Actual
2009-01-31,301100,Actual
2009-02-28,298400,Actual
2009-03-31,296200,Actual
2009-04-30,297600,Actual
2009-05-31,300100,Actual
2009-06-30,303800,Actual
2009-07-31,308300,Actual
2009-08-31,312600,Actual
2009-09-30,317300,Actual
2009-10-31,322100,Actual
2009-11-30,326400,Actual
2009-12-31,330400,Actual
2010-01-31,332600,Actual
2010-02-28,334800,Actual
2010-03-31,336400,Actual
2010-04-30,337200,Actual
2010-05-31,336600,Actual
2010-06-30,335500,Actual
2010-07-31,334300,Actual
2010-08-31,334100,Actual
2010-09-30,334400,Actual
2010-10-31,335600,Actual
2010-11-30,337100,Actual
2010-12-31,339100,Actual
