Date,Toronto MLS Price Benchmark,Data Type
2005-01-31,187100,Actual
2005-02-28,188800,Actual
2005-03-31,190400,Actual
2005-04-30,191200,Actual
2005-05-31,194400,Actual
2005-06-30,195700,Actual
2005-07-31,195600,Actual
2005-08-31,196200,Actual
2005-09-30,198000,Actual
2005-10-31,196600,Actual
2005-11-30,197500,Actual
2005-12-31,198200,Actual
2006-01-31,198200,Actual
2006-02-28,201400,Actual
2006-03-31,201500,Actual
2006-04-30,203000,Actual
2006-05-31,205000,Actual
2006-06-30,204900,Actual
2006-07-31,206500,Actual
2006-08-31,206600,Actual
2006-09-30,208900,Actual
2006-10-31,207900,Actual
2006-11-30,207400,Actual
2006-12-31,207100,Actual
2007-01-31,208400,Actual
2007-02-28,209700,Actual
2007-03-31,212700,Actual
2007-04-30,215200,Actual
2007-05-31,218400,Actual
2007-06-30,221100,Actual
2007-07-31,222600,Actual
2007-08-31,223200,Actual
2007-09-30,224600,Actual
2007-10-31,226300,Actual
2007-11-30,227500,Actual
2007-12-31,227700,Actual
2008-01-31,230000,Actual
2008-02-29,231700,Actual
2008-03-31,234000,Actual
2008-04-30,235100,Actual
2008-05-31,236100,Actual
2008-06-30,235400,Actual
2008-07-31,236700,Actual
2008-08-31,236800,Actual
2008-09-30,235600,Actual
2008-10-31,235400,Actual
2008-11-30,232800,Actual
2008-12-31,229300,Actual
2009-01-31,221600,Actual
2009-02-28,222600,Actual
2009-03-31,224300,Actual
2009-04-30,228000,Actual
2009-05-31,230300,Actual
2009-06-30,234300,Actual
2009-07-31,239100,Actual
2009-08-31,243700,Actual
2009-09-30,247600,Actual
2009-10-31,251600,Actual
2009-11-30,255100,Actual
2009-12-31,256900,Actual
2010-01-31,261000,Actual
2010-02-28,262600,Actual
2010-03-31,264600,Actual
2010-04-30,266300,Actual
2010-05-31,266100,Actual
2010-06-30,265600,Actual
2010-07-31,264100,Actual
2010-08-31,261500,Actual
2010-09-30,262100,Actual
2010-10-31,262200,Actual
2010-11-30,261900,Actual
2010-12-31,262600,Actual
2011-01-31,264400,Actual
2011-02-28,268400,Actual
2011-03-31,271500,Actual
2011-04-30,275000,Actual
2011-05-31,276100,Actual
2011-06-30,278900,Actual
2011-07-31,280500,Actual
2011-08-31,282300,Actual
2011-09-30,282400,Actual
2011-10-31,283600,Actual
2011-11-30,282100,Actual
2011-12-31,282600,Actual
2012-01-31,282000,Actual
2012-02-29,286100,Actual
2012-03-31,285900,Actual
2012-04-30,287700,Actual
2012-05-31,288400,Actual
2012-06-30,289000,Actual
2012-07-31,287500,Actual
2012-08-31,286400,Actual
2012-09-30,285000,Actual
2012-10-31,285300,Actual
2012-11-30,281300,Actual
2012-12-31,280600,Actual
2013-01-31,279000,Actual
2013-02-28,282100,Actual
2013-03-31,284100,Actual
2013-04-30,286200,Actual
2013-05-31,288800,Actual
2013-06-30,288700,Actual
2013-07-31,287500,Actual
2013-08-31,288100,Actual
2013-09-30,287300,Actual
2013-10-31,289900,Actual
2013-11-30,288100,Actual
2013-12-31,288500,Actual
2014-01-31,288900,Actual
2014-02-28,290900,Actual
2014-03-31,294700,Actual
2014-04-30,298600,Actual
2014-05-31,297500,Actual
2014-06-30,300300,Actual
2014-07-31,299800,Actual
2014-08-31,299900,Actual
2014-09-30,299300,Actual
2014-10-31,301100,Actual
2014-11-30,302100,Actual
2014-12-31,303000,Actual
